                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.62872,                0.68916,                  1.104,                0.65392,                0.58095,                0.63882,                 0.3856,                 1.2089,                0.91353,                  1.434,              0.0096387,              0.0096387,              0.0096387
                     75,                0.63266,                0.68819,                 1.1051,                 0.6552,                0.57464,                0.63807,                0.38776,                 1.2048,                0.90923,                 1.4288,              0.0096337,              0.0096337,              0.0096337
                     76,                0.62733,                0.69047,                 1.1037,                0.64611,                0.58719,                0.63461,                0.38482,                 1.2019,                0.90449,                 1.4262,              0.0096288,              0.0096288,              0.0096288
                     77,                 0.6309,                0.68871,                 1.1037,                0.63754,                0.58872,                0.62566,                0.38032,                 1.2031,                 0.9149,                 1.4259,              0.0096238,              0.0096238,              0.0096238
                     78,                0.62792,                0.68441,                 1.1036,                0.61747,                0.59124,                0.62687,                0.38259,                 1.2049,                0.91962,                 1.4276,              0.0096188,              0.0096188,              0.0096188
                     79,                0.63225,                0.68574,                 1.1069,                0.60876,                0.59785,                0.62776,                0.38463,                 1.1971,                0.91822,                 1.4195,              0.0096139,              0.0096139,              0.0096139
                     80,                0.63171,                0.68652,                 1.1038,                0.65241,                0.57265,                0.62721,                0.38344,                 1.1996,                  0.921,                 1.4202,               0.009609,               0.009609,               0.009609
                     81,                0.63193,                 0.6895,                 1.1045,                0.66001,                0.56081,                0.61913,                0.38215,                 1.1993,                0.92972,                 1.4192,               0.009604,               0.009604,               0.009604
                     82,                0.62644,                0.68402,                  1.103,                 0.6578,                0.56989,                0.62059,                0.38552,                 1.1939,                0.93267,                  1.417,               0.009599,               0.009599,               0.009599
                     83,                0.62954,                 0.6839,                 1.1068,                0.65125,                0.57247,                0.62048,                0.38591,                 1.1932,                 0.9325,                 1.4135,              0.0095941,              0.0095941,              0.0095941
                     84,                0.63021,                0.68062,                 1.1039,                0.64406,                0.57465,                0.62178,                0.38541,                 1.1898,                 0.9374,                 1.4137,              0.0095892,              0.0095892,              0.0095892
                     85,                0.62624,                0.68311,                 1.1035,                0.64851,                 0.5714,                0.61774,                0.38543,                 1.1905,                0.93618,                  1.415,              0.0095842,              0.0095842,              0.0095842
                     86,                0.62517,                0.67803,                 1.1025,                0.66933,                0.57227,                0.61593,                0.38214,                 1.1898,                0.93479,                 1.4114,              0.0095793,              0.0095793,              0.0095793
                     87,                0.62348,                0.68388,                    1.1,                0.66527,                0.56889,                 0.6179,                0.37932,                 1.1942,                0.93032,                 1.4136,              0.0095743,              0.0095743,              0.0095743
